Borough,Number,Street
Brooklyn,2750,GERRITSEN AVENUE
Queens,5-050,SEAGIRT BOULEVARD
Brooklyn,45,COLERIDGE STREET
Queens,10-018,47 AVENUE
Queens,29-52,161 STREET
Brooklyn,,
Bronx,239,CITY ISLAND AVENUE
Brooklyn,198,SKILLMAN STREET
Queens,240-001,NEWHALL AVENUE
Queens,241-034,142 AVENUE
Staten Island,580,OAKDALE STREET
Brooklyn,27,NORTH ELLIOTT PLACE
Staten Island,401,SYCAMORE STREET
Manhattan,331,WEST 96 STREET
Queens,241-021,MEMPHIS AVENUE
Brooklyn,,
Brooklyn,530,EAST 3 STREET
Queens,30-045,48 STREET
Queens,25-058,49 STREET
Queens,33-017,CRESCENT STREET
Brooklyn,2832,GERRITSEN AVENUE
Queens,31-031,80 STREET
Queens,78-001,QUEENS BOULEVARD
Brooklyn,1128-1134,48 STREET
Brooklyn,4802,15 AVENUE
Brooklyn,2724,ATLANTIC AVENUE
Bronx,315,EAST 238 STREET
Manhattan,324,WEST 96 STREET
Brooklyn,607,EAST 3 STREET
Queens,25-057,49 STREET
Queens,25-059,49 STREET
Queens,25-060,49 STREET
Brooklyn,,
Brooklyn,436,STRATFORD RD
Queens,52-014,244 STREET
Brooklyn,1424,51 STREET
Brooklyn,1120,EAST 7 STREET
Brooklyn,820,PINE STREET
Bronx,3050,BOSTON ROAD
Queens,58-33,220 STREET
Brooklyn,1907,CONEY ISLAND AVENUE
Manhattan,48,RUTGERS STREET
Brooklyn,605,EAST 3 STREET
Manhattan,112,EAST 106 STREET
Queens,241-002,144 AVENUE
Manhattan,465,EAST 10 STREET
Manhattan,,
Queens,33-011,CRESCENT STREET
Brooklyn,,
Brooklyn,,
Brooklyn,880,MACON STREET
Bronx,3037,LURTING AVENUE
Manhattan,176,EAST 101 STREET
Brooklyn,617,EAST  5 STREET
Manhattan,465,EAST 10 STREET
Brooklyn,588,MYRTLE AVENUE
Brooklyn,,
Brooklyn,2638,GERRITSEN AVENUE
Brooklyn,,
Manhattan,14,EAST 63 STREET
Manhattan,177,EAST 100 STREET
Manhattan,1355,PARK AVENUE
Queens,21-054,CRESCENT STREET
Queens,160-11,88 STREET
Brooklyn,1568,53 STREET
Queens,52-014,244 STREET
Brooklyn,96,ETNA STREET
Brooklyn,197,SKILLMAN AVENUE
Brooklyn,,
Queens,76-09,34 AVENUE
Queens,21-080,CRESCENT STREET
Bronx,324,EAST 235 STREET
Brooklyn,3605,13 AVENUE
Staten Island,663,RENSSELAER AVENUE
Brooklyn,1517,53 STREET
Manhattan,1972,1 AVENUE
Bronx,570,EAST 134 STREET
Bronx,2440,PEARSALL AVENUE
Bronx,3500,TRYON AVENUE
Bronx,304,EAST GUN HILL ROAD
Bronx,304,EAST GUN HILL ROAD
Staten Island,84,COMSTOCK AVENUE
Queens,71-009,MANSE STREET
Staten Island,470,POILLON AVENUE
Brooklyn,836,BERGEN STREET
Brooklyn,1148,PACIFIC STREET
Brooklyn,,
Brooklyn,1673,PRESIDENT STREET
Queens,60-008,78 STREET
Queens,109-17,204 STREET
Bronx,871,EAST 179 STREET
Bronx,2105,EAST 180 STREET
Queens,41-010,157 STREET
Brooklyn,7308,AVENUE N
Queens,229-009,146 AVENUE
Staten Island,140,LA GUARDIA AVENUE
Queens,47-001,VAN DAM STREET
Bronx,436,EAST 239 STREET
Brooklyn,7205,BERGEN COURT
Manhattan,354,EAST 51 STREET
Brooklyn,1139,49 STREET
Staten Island,394,PORT RICHMOND AVENUE
Brooklyn,1568,ATLANTIC AVENUE
Queens,25-039,71 STREET
Brooklyn,1464,51 STREET
Brooklyn,120,EMPIRE BOULEVARD
Brooklyn,313,CLINTON AVENUE
Brooklyn,313,CLINTON AVENUE
Brooklyn,256,LEFFERTS AVENUE
Brooklyn,267,LEFFERTS AVENUE
Queens,258-80,147 AV
Bronx,2068-76,DALY AVENUE
Bronx,3232,LURTING AVENUE
Brooklyn,1137-1139,49 STREET
Staten Island,470,POILLON AVENUE
Staten Island,470,POILLON AVENUE
Brooklyn,274,RIDGEWOOD AVENUE
Queens,58-007,WOODSIDE AVENUE
Bronx,323,EAST 238 STREET
Queens,43-008,104 STREET
Queens,57-038,MAZEAU STREET
Queens,68-030,EXETER STREET
Queens,149-051,259 STREET
Manhattan,32,JACKSON STREET
Queens,33-21,107 STREET
Bronx,915,LOGAN AVENUE
Queens,257-039,148 ROAD
Queens,253-010,148 ROAD
Brooklyn,513,CHAUNCEY STREET
Queens,78-080,85 STREET
Bronx,1160,TELLER AVENUE
Brooklyn,187,CROWN STREET
Staten Island,47,COMSTOCK AVENUE
Staten Island,94,GARY PLACE
Queens,149-052,258 STREET
Queens,60-012,NORTHERN BOULEVARD
Brooklyn,1200,51 STREET
Bronx,435,EAST 238 STREET
Queens,25-040,90 STREET
Queens,259-011,148 ROAD
Bronx,3920,ELY AVENUE
Brooklyn,1666,PRESIDENT STREET
Queens,84-001,DORAN AVENUE
Brooklyn,1235,53 STREET
Brooklyn,249,SOUTH 1 STREET
Bronx,2971,HARDING AVENUE
Queens,257-025,148 AVENUE
Queens,259-041,148 ROAD
Brooklyn,229,CLERMONT AVENUE
Brooklyn,1002,EAST 59 STREET
Manhattan,282,WEST END AVENUE
Brooklyn,345,LINCOLN PLACE
Brooklyn,600,STERLING PLACE
Queens,25-053,90 STREET
Manhattan,450,EAST 53 STREET
Queens,259-001,148 AVENUE
Queens,112-045,15 AVENUE
Queens,111-025,78 AVENUE
Brooklyn,,
Staten Island,470,POILLON AVENUE
Queens,47-001,VAN DAM STREET
Queens,34-49,79 STREET
Queens,259-049,148 ROAD
Queens,259-020,148 ROAD
Queens,171-036,BAGLEY AVENUE
Brooklyn,1237,53 STREET
Bronx,3960,PAULDING AVENUE
Staten Island,470,POILLON AVENUE
Staten Island,470,POILLON AVENUE
Brooklyn,140,LINWOOD STREET
Queens,66-014,LAUREL HILL BOULEVARD
Bronx,2988-2990,OTIS AVENUE
Brooklyn,80,LEFFERTS AVENUE
Queens,217-004,64 AVENUE
Bronx,3232,LURTING AVENUE
Brooklyn,587,FRANKLIN AVENUE
Brooklyn,677,LINCOLN PLACE
Brooklyn,1152,PACIFIC STREET
Brooklyn,604,STERLING PLACE
Manhattan,99,CHRYSTIE STREET
Queens,42-018,104 STREET
Bronx,2917-2919,MILTON PLACE
Brooklyn,1667,PRESIDENT STREET
Bronx,4350,KATONAH AVENUE
Queens,56-011,62 AVENUE
Brooklyn,1365,52 STREET
Staten Island,470,POILLON AVENUE
Queens,257-015,148 AVENUE
Brooklyn,1370,51 STREET
Queens,135-021,225 STREET
Queens,253-069,148 ROAD
Queens,257-047,149 AVENUE
Brooklyn,428,VANDERBILT AVENUE
Bronx,2014,HONEYWELL AVENUE
Brooklyn,69,SARATOGA AVENUE
Bronx,1160,TELLER AVENUE
Bronx,2122,REEDS MILL LANE
Brooklyn,,
Bronx,662,EAST 225 STREET
Bronx,242,Bullard Ave
Bronx,1,Bullard Averaged
Bronx,30,HAWKINS STREET
Bronx,2840,DUDLEY AVENUE
Staten Island,29,MILTON AVENUE
Staten Island,292,ISABELLA AVENUE
Staten Island,292,ISABELLA AVENUE
Staten Island,470,POILLON AVENUE
Queens,47-001,VAN DAM STREET
Brooklyn,410,EAST 34 STREET
Brooklyn,568,FRANKLIN AVENUE
Brooklyn,600,FRANKLIN AVENUE
Brooklyn,908,BUSHWICK AVENUE
Brooklyn,566,FLATBUSH AVENUE
Queens,259-004,147 AVENUE
Bronx,4259,KATONAH AVENUE
Bronx,1160,TELLER AVENUE
Bronx,1459,STICKNEY PLACE
Queens,35-045,71 STREET
Brooklyn,1314,51 STREET
Brooklyn,638,STERLING PLACE
Queens,245-031,147 AVENUE
Bronx,4311,KATONAH AVENUE
Queens,78-80,85 STREET
Brooklyn,1215,53 STREET
Queens,220-027,43 AVENUE
Brooklyn,1136,PACIFIC STREET
Bronx,275,EAST 240 STREET
Bronx,435,EAST 240 STREET
Staten Island,93,SCHLEY AVENUE
Queens,93-045,214 PLACE
Queens,259-004,147 AVENUE
Brooklyn,278,LEFFERTS AVENUE
Brooklyn,5201,14 AVENUE
Brooklyn,1225,53 STREET
Brooklyn,183,CROWN STREET
Brooklyn,2583,EAST 28 STREET
Brooklyn,1233,51 STREET
Brooklyn,274,RIDGEWOOD AVENUE
Brooklyn,836,BERGEN STREET
Manhattan,255,WEST 108 STREET
Brooklyn,1370,51 STREET
Bronx,443,EAST 240 STREET
Staten Island,18,RUGGLES STREET
Bronx,947,EAST 180 STREET
Bronx,4359,FURMAN AVENUE
Brooklyn,223,LEFFERTS AVENUE
Queens,259-004,147 ROAD
Queens,259-003,148 ROAD
Brooklyn,1549,52 STREET
Queens,62-61,60 AVENUE
Queens,241-008,147 AVENUE
Bronx,4307,MARTHA AVENUE
Brooklyn,1350,53 STREET
Brooklyn,1350,53 STREET
Brooklyn,1123,49 STREET
Brooklyn,1568,ATLANTIC AVENUE
Brooklyn,570,FRANKLIN AVENUE
Bronx,2970,LAWTON AVE
Brooklyn,274,HALL STREET
Queens,249-023,61 AVENUE
Brooklyn,78,LEFFERTS AVENUE
Queens,246-016,63 AVENUE
Bronx,921,EAST 180 STREET
Bronx,2068-76,DALY AVENUE
Queens,70-12,66 PLACE
Brooklyn,20,STODDARD PLACE
Brooklyn,153,UNDERHILL AVENUE
Queens,75-030,KESSEL STREET
Brooklyn,,
Brooklyn,1200,51 STREET
Manhattan,200,MANHATTAN AVENUE
Brooklyn,347,LINCOLN PLACE
Manhattan,110,WEST 97 STREET
Bronx,2935-2939,MILTON PLACE
Brooklyn,9001,AVENUE K
Brooklyn,211,CONGRESS STREET
Queens,110-017,68 AVENUE
Queens,97-033,72 DRIVE
Bronx,4540,MONTICELLO AVENUE
Bronx,4500,MONTICELLO AVENUE
Bronx,2181,WALLACE AVENUE
Brooklyn,1533,EAST 53 STREET
Staten Island,69,WOODLAWN AVENUE
Queens,97-015,METROPOLITAN AVENUE
Queens,110-045,QUEENS BOULEVARD
Brooklyn,1201,ST MARKS AVENUE
Queens,208-002,33 AVENUE
Queens,63-24,99 STREET
Queens,24-041,31 STREET
Queens,223-019,HORACE HARDING EXPRESSWAY SR N
Queens,245-007,147 AVENUE
Queens,107-021,QUEENS BOULEVARD
Queens,34-053,JORDAN STREET
Bronx,3030,3 AVENUE
Staten Island,35,FAYETTE AVENUE
Staten Island,75,WOODLAWN AVENUE
Queens,9-018,CLINTONVILLE STREET
Bronx,1019-1021,THROGS NECK EXPRESSWAY SR
Brooklyn,4917,14 AVENUE
Queens,95-012,63 ROAD
Brooklyn,1961,WEST 13 STREET
Brooklyn,2847,WEST  22 STREET
Queens,97-017,QUEENS BOULEVARD
Queens,24-041,31 STREET
Queens,148-014,60 AVENUE
Brooklyn,848,MACON STREET
Bronx,354,CYPRESS AVENUE
Brooklyn,,
Queens,92-037,METROPOLITAN AVENUE
Staten Island,72,CROWELL AVENUE
Queens,92-037,METROPOLITAN AVENUE
Queens,143-005,248 STREET
Queens,243-043,CANEY ROAD
Queens,116-03,226 STREET
Bronx,2324,BOSTON ROAD
Bronx,2407,BOSTON ROAD
Bronx,1645,YATES AVENUE
Queens,97-027,QUEENS BOULEVARD
Bronx,316,CYPRESS AVENUE
Queens,11-020,43 ROAD
Brooklyn,739,DECATUR STREET
Brooklyn,1746,BROADWAY
Brooklyn,1236,49 STREET
Brooklyn,1319,50 STREET
Bronx,3601,JOHNSON AVENUE
Brooklyn,1001,SCHENCK AVENUE
Queens,243-017,147 AVENUE
Queens,80-052,217 STREET
Brooklyn,1746,BROADWAY
Staten Island,89,WOODLAWN AVENUE
Queens,35-62,166 STREET
Queens,148-039,HUXLEY STREET
Queens,92-002,68 AVENUE
Queens,95-022,63 ROAD
Queens,92-016,71 AVENUE
Brooklyn,1322,BERGEN STREET
Queens,24-041,31 STREET
Brooklyn,6302,NEW UTRECHT AVENUE
Bronx,3847,BAILEY AVENUE
Queens,140-002,243 STREET
Queens,97-037,63 ROAD
Queens,344,GROSVENOR STREET
Queens,248-025,NORTHERN BOULEVARD
Brooklyn,92,CLARK STREET
Staten Island,80,WOODLAWN AVENUE
Queens,97-015,METROPOLITAN AVENUE
Queens,149-088,253
Queens,59-020,PALMETTO STREET
Brooklyn,1158,49 STREET
Bronx,3601,JOHNSON AVENUE
Queens,97-048,63 ROAD
Queens,97-027,QUEENS BOULEVARD
Queens,65-065,WETHEROLE STREET
Queens,142-016,243 STREET
Queens,240-40,43 AVENUE
Bronx,2324,BOSTON ROAD
Staten Island,23,SEGUINE PLACE
Queens,240-046,EDGEWOOD AVENUE
Brooklyn,1466,50 STREET
Queens,98-54,63 ROAD
Queens,52-042,LITTLE NECK PARKWAY
Queens,220-040,KINGSBURY AVENUE
Queens,45-033,21 STREET
Brooklyn,1746,BROADWAY
Brooklyn,22-24,ROCKAWAY AVENUE
Brooklyn,161,STATE STREET
Brooklyn,,
Staten Island,186,CROWELL AVENUE
Brooklyn,4901,14 AVENUE
Queens,244-003,GRAND CENTRAL PARKWAY SR NORTH
Queens,98-057,63 ROAD
Queens,97-017,QUEENS BOULEVARD
Bronx,414,EAST 134 STREET
Queens,217-069,KINGSBURY AVENUE
Bronx,605,OAK TERRACE
Bronx,603,OAK TERRACE
Queens,59-028,LITTLE NECK PARKWAY
Brooklyn,329,WESTMINSTER ROAD
Staten Island,70,WOODLAWN AVENUE
Brooklyn,4901,14 AVENUE
Queens,243-026,WELLER AVENUE
Queens,48-060,GLENWOOD STREET
Queens,97-028,63 ROAD
Queens,239-038,148 ROAD
Brooklyn,1746,BROADWAY
Brooklyn,18,ROCKAWAY AVENUE
Brooklyn,1434-1436,49 STREET
Queens,60-005,255 STREET
Queens,251-035,57 AVENUE
Queens,247-001,NORTHERN BOULEVARD
Queens,95-016,63 ROAD
Bronx,2244,WHITE PLAINS ROAD
Queens,98-54,63 ROAD
Queens,59-028,LITTLE NECK PARKWAY
Queens,107-021,QUEENS BOULEVARD
Queens,241-28,148 ROAD
Queens,46-018,VERNON BOULEVARD
Brooklyn,1564,49 STREET
Queens,104-03,196 STREET
Brooklyn,1214,49 STREET
Bronx,2221,BOSTON ROAD
Queens,97-007,63 ROAD
Bronx,2244,WHITE PLAINS ROAD
Queens,223-019,HORACE HARDING EXPRESSWAY SR N
Brooklyn,33-35,SARATOGA AVENUE
Brooklyn,1573,BROADWAY
Queens,45-033,21 STREET
Brooklyn,2168,East 13th Street
Bronx,60,WINTERS STREET
Brooklyn,603,EAST 40 STREET
Queens,140-044,243 STREET
Bronx,3950,WHITE PLAINS ROAD
Queens,95-020,63 ROAD
Brooklyn,118,BAY 38 STREET
Queens,24-041,31 STREET
Brooklyn,394,ATLANTIC AVENUE
Queens,61-017,164 STREET
Queens,53-024,LITTLE NECK PARKWAY
Queens,75-28,168 STREET
Brooklyn,,
Staten Island,160,RUGBY AVENUE
Queens,149-099,253 STREET
Brooklyn,461,VANDERBILT AVENUE
Queens,246-001,MEMPHIS AVENUE
Queens,97-022,63 ROAD
Queens,239-021,147 AVENUE
Queens,106-016,70 AVENUE
Queens,25-008,BROADWAY
Queens,46-028,VERNON BOULEVARD
Brooklyn,248,KINGSTON AVENUE
Queens,60-43,WOODHAVEN BOULEVARD
Queens,68-018,53 DRIVE
Queens,50-44,207 STREET
Queens,240-023,EDGEWOOD STREET
Bronx,2131-2133,WALLACE AVENUE
Queens,239-021,147 AVENUE
Queens,221-041,HORACE HARDING EXPRESSWAY SR N
Queens,243-005,147 AVENUE
Queens,24-041,31 STREET
Queens,29-015,DITMARS BOULEVARD
Queens,33-010,DITMARS BOULEVARD
Bronx,3030,THIRD AVENUE
Brooklyn,20,ROCKAWAY AVENUE
Queens,182-17,80 ROAD
Brooklyn,117,SUYDAM STREET
Bronx,1082,MORRIS PARK AVENUE
Queens,23-03,ASTORIA BOULEVARD
Queens,221-09,59 AVENUE
Brooklyn,884,MACON STREET
Brooklyn,1573,BROADWAY
Queens,33-03,BROADWAY
Brooklyn,371,13 STREET
Bronx,910,SHERIDAN AVENUE
Bronx,930,SHERIDAN AVENUE
Bronx,930,SHERIDAN AVENUE
Bronx,3600,FIELDSTON ROAD
Bronx,3600,FIELDSTON ROAD
Bronx,5509,FIELDSTON RD
Bronx,5282,POST ROAD
Bronx,223,LAKEVIEW PLACE
Staten Island,189,THOMAS STREET
Staten Island,326,HUSSON STREET
Staten Island,329,HUSSON STREET
Staten Island,92,PRESCOTT AVENUE
Staten Island,1880,RICHMOND ROAD
Queens,178-008,CROYDON ROAD
Brooklyn,5802,14 AVENUE
Brooklyn,17,SARATOGA AVENUE
Queens,217-069,KINGSBURY AVENUE
Manhattan,158,WOOSTER STREET
Brooklyn,1279,50 STREET
Queens,95-022,63 ROAD
Queens,97-026,63 ROAD
Queens,21-028,35 STREET
Queens,344,GROSVENOR STREET
Queens,92-012,71 AVENUE
Queens,240-058,EDGEWOOD AVENUE
Brooklyn,361,LEWIS AVENUE
Brooklyn,361,LEWIS AVENUE
Queens,108-035,160 STREET
Brooklyn,30,ROCKAWAY AVENUE
Queens,57-033,58 PLACE
Queens,238-023,148 DRIVE
Queens,148-051,BROOKVILLE BOULEVARD
Brooklyn,10004,4 AVENUE
Brooklyn,,
Manhattan,1232,2 AVENUE
Brooklyn,140,SARATOGA AVENUE
Queens,186-10,114 AVENUE
Brooklyn,,
Bronx,72,EAST 190 STREET
Brooklyn,10004,4 AVENUE
Manhattan,1236,2 AVENUE
Queens,239-004,149 AVENUE
Queens,75-002,SPRINGFIELD BOULEVARD
Bronx,1046,TELLER AVENUE
Brooklyn,140,NASSAU AVENUE
Brooklyn,201,NASSAU AVENUE
Bronx,1201,FINDLAY AVENUE
Brooklyn,297,NORMAN AVENUE
Staten Island,119,BACHE AVENUE
Brooklyn,1922,BERGEN STREET
Brooklyn,10004,4 AVENUE
Brooklyn,515,CHAUNCEY STREET
Manhattan,1492,YORK AVENUE
Brooklyn,553,CHAUNCEY STREET
Bronx,1791,WALTON AVE
Queens,148-010,249 STREET
Brooklyn,686,MORGAN AVE
Manhattan,45,EAST 135 STREET
Brooklyn,,
Queens,257-024,CRAFT AVENUE
Brooklyn,422,MARION STREET
Brooklyn,6632,3 AVENUE
Queens,148-073,BROOKVILLE BOULEVARD
Staten Island,2,BENTON AVENUE
Brooklyn,2601,HUBBARD STREET
Queens,241-006,149 AVENUE
Brooklyn,516,CHAUNCEY STREET
Manhattan,305,WEST 45 STREET
Brooklyn,331,NASSAU AVENUE
Brooklyn,190,NORMAN AVENUE
Brooklyn,317,NORMAN AVENUE
Brooklyn,4815,BEVERLY ROAD
Queens,148-039,EDGEWOOD STREET
Queens,148-010,249 STREET
Queens,75-008,SPRINGFIELD BOULEVARD
Bronx,1165,CLAY AVENUE
Brooklyn,344,MARION STREET
Brooklyn,179,SARATOGA AVE
Staten Island,55,WEST CASTOR PLACE
Brooklyn,112,THOMAS S BOYLAND STREET
Staten Island,18,7 STREET
Brooklyn,4812,14 AVENUE
Brooklyn,111,9 STREET
Queens,148-075,EDGEWOOD STREET
Brooklyn,494,CHAUNCEY STREET
Bronx,355,EAST 165 STREET
Queens,46-026,DOUGLASTON PARKWAY
Brooklyn,163,GREENE AVENUE
Queens,114-39,121 STREET
Brooklyn,242,BAY 17 STREET
Brooklyn,1534,SHORE BOULEVARD
Brooklyn,111,9 STREET
Brooklyn,2225,85 STREET
Bronx,1128,FINDLAY AVENUE
Brooklyn,310,NASSAU AVENUE
Staten Island,50,JEFFERSON ST
Brooklyn,601,EAST 18 STREET
Queens,148-051,BROOKVILLE BOULEVARD
Staten Island,389,SLATER BOULEVARD
Brooklyn,535,CHAUNCEY STREET
Brooklyn,123-125,DRIGGS AVENUE
Queens,245-023,148 AVENUE
Brooklyn,257,EAST 57 STREET
Brooklyn,204,SUMPTER STREET
Brooklyn,10004,4 AVENUE
Brooklyn,,
Brooklyn,543,CHAUNCEY STREET
Bronx,1043,TELLER AVENUE
Queens,53-002,BROWVALE LANE
Brooklyn,189,DRIGGS AVENUE
Queens,253-027,147 ROAD
Queens,255-002,CRAFT AVENUE
Brooklyn,261,NORMAN AVENUE
Brooklyn,110,THOMAS S BOYLAND STREET
Brooklyn,111,CONKLIN AVENUE
Brooklyn,5213,AVENUE J
Bronx,3033,MIDDLETOWN ROAD
Brooklyn,,
Brooklyn,300,MADISON STREET
Brooklyn,920,SHORE BOULEVARD
Brooklyn,482,HANCOCK STREET
Manhattan,200,EAST  69 STREET
Manhattan,152,EAST  81 STREET
Manhattan,330,WEST 45 STREET
Queens,259-059,147 DRIVE
Brooklyn,,
Bronx,826,COURTLANDT AVENUE
Queens,245-016,RUSHMORE AVENUE
Queens,242-008,149 AVENUE
Queens,715,STARR STREET
Brooklyn,242,NASSAU AVENUE
Bronx,986,EAST GUN HILL ROAD
Brooklyn,6722,FT HAMILTON PARKWAY
Brooklyn,2665,EAST  27 STREET
Queens,147-005,240 STREET
Queens,239-014,147 ROAD
Queens,99-060,63 DRIVE
Brooklyn,174,HULL STREET
Queens,242-004,149 AVENUE
Queens,245-056,147 ROAD
Queens,257-17,147 ROAD
Queens,262-03,60 AVENUE
Queens,144-09,COOLIDGE AVENUE
Bronx,430,EAST TREMONT AVENUE
Bronx,1047,TELLER AVENUE
Queens,76-034,SPRINGFIELD BOULEVARD
Brooklyn,265,NASSAU AVENUE
Queens,67-054,171 STREET
Brooklyn,148,NORMAN AVENUE
Queens,69-009,SYBILLA STREET
Brooklyn,265,SUMPTER STREET
Bronx,1128,FINDLAY AVENUE
Queens,109-036,113 STREET
Brooklyn,2414,AVENUE R
Bronx,1363,FRANKLIN AVENUE
Bronx,430,EAST TREMONT AVENUE
Queens,148-075,EDGEWOOD STREET
Brooklyn,280,EAST 7 STREET
Manhattan,132,EAST 65 STREET
Bronx,2206,HOLLAND AVENUE
Queens,255-016,CRAFT AVENUE
Brooklyn,196,NORMAN AVENUE
Bronx,685,EAGLE AVENUE
Bronx,2260,BRONX PARK EAST
Queens,22-012,94 STREET
Brooklyn,226,NORMAN AVENUE
Brooklyn,9201,SHORE ROAD
Queens,239-002,147 ROAD
Brooklyn,1218,47 STREET
Queens,52-022,BROWVALE LANE
Brooklyn,971,EAST 10 STREET
Brooklyn,1723,11 AVENUE
Bronx,3460,CANNON PLACE
Brooklyn,9201,SHORE ROAD
Queens,160-06,24 AVENUE
Bronx,94,CENTRE STREET
Brooklyn,199,WASHINGTON PARK
Bronx,1434,MORRIS AVENUE
Bronx,1428,MORRIS AVENUE
Bronx,1426,MORRIS AVENUE
Bronx,1652,WEEKS AVENUE
Brooklyn,282,HANCOCK STREET
Brooklyn,150,ARGYLE ROAD
Brooklyn,,
Brooklyn,300,MADISON STREET
Brooklyn,410,JEFFERSON AVENUE
Bronx,759,EAGLE AVENUE
Brooklyn,1760,EASTERN PARKWAY EXTENSION
Brooklyn,134,MACON STREET
Brooklyn,300,MADISON STREET
Brooklyn,529,GATES AVENUE
Brooklyn,2037,FULTON
Bronx,133,CLARKE PLACE EAST
Bronx,320,COURTLANDT AVENUE
Bronx,681,ELTON AVENUE
Brooklyn,252,QUINCY STREET
Brooklyn,48,VAN BUREN STREET
Brooklyn,415,TOMPKINS AVENUE
Bronx,3500-3518,JEROME AVENUE
Bronx,3500-3518,JEROME AVENUE
Brooklyn,1760,EASTERN PARKWAY EXTENSION
Brooklyn,61,WYCKOFF AVENUE
Brooklyn,45,TOMPKINS AVENUE
Brooklyn,510,GATES AVENUE
Brooklyn,,
Bronx,3500,JEROME AVENUE
Bronx,3500-3518,JEROME AVENUE
Bronx,1382,PROSPECT AVENUE
Brooklyn,1470,58 STREET
Bronx,3158,DECATUR AVENUE
Brooklyn,,
Bronx,3500-3518,JEROME AVENUE
Brooklyn,,
Brooklyn,133,NEWPORT STREET
Bronx,3124,PERRY AVENUE
Brooklyn,2037,FULTON
Brooklyn,,
Brooklyn,,
Brooklyn,415,TOMPKINS AVENUE
Bronx,3500-3518,JEROME AVENUE
Brooklyn,2266,PACIFIC STREET
Bronx,3500-3518,JEROME AVENUE
Brooklyn,2037,FULTON STREET
Bronx,300,EAST 158 STREET
Bronx,601,EAST 156 STREET
Brooklyn,123,BAY STREET
Brooklyn,,
Manhattan,4716,BROADWAY
Brooklyn,155,BAY STREET
Brooklyn,,
Brooklyn,,
Manhattan,20,WEST 74 STREET
Brooklyn,2820,BRIGHTON 4 STREET
Brooklyn,123,BAY STREET
Brooklyn,155,BAY STREET
Manhattan,129,WEST 15 STREET
Brooklyn,123,BAY STREET
Brooklyn,123,BAY STREET
Brooklyn,960,FRANKLIN AVENUE
Brooklyn,,
Brooklyn,2815,BRIGHTON 3 STREET
Manhattan,720,WEST END AVENUE
Brooklyn,271,SULLIVAN PLACE
Brooklyn,271,SULLIVAN PLACE
Brooklyn,264,SULLIVAN PLACE
Brooklyn,,
Brooklyn,2815,BRIGHTON 3 STREET
Staten Island,689,SHELDON AVENUE
Staten Island,320,VINELAND AVENUE
Queens,31-018,NEWTOWN AVENUE
Queens,32-005,NEWTOWN AVENUE
Queens,66-40,WETHEROLE STREET
Brooklyn,3413,AVENUE H
Brooklyn,252,EAST 54 STREET
Brooklyn,422,STATE STREET
Staten Island,137,VAN NAME AVENUE
Queens,249-27,RUSHMORE TERRACE
Queens,28-031,31 STREET
Queens,241-052,148 ROAD
Brooklyn,1659,PROSPECT PLACE
Brooklyn,551 B,RALPH AVENUE
Brooklyn,332,SARATOGA AVENUE
Queens,88-025,146 STREET
Brooklyn,1317-1319,PUTNAM AVENUE
Queens,161-001,89 AVENUE
Brooklyn,75,THOMAS STREET
Queens,241-006,147 DRIVE
Manhattan,67,3 AVENUE
Queens,73-043,190 STREET
Brooklyn,1582,PROSPECT PLACE
Brooklyn,347,OCEAN PARKWAY
Queens,115-015,201 STREET
Bronx,3960-4048,SAXON AVENUE
Queens,241-003,148 AVENUE
Brooklyn,1819,BERGEN STREET
Manhattan,152,WEST  14 STREET
Queens,108-44,64 ROAD
Manhattan,234,BRADHURST AVENUE
Manhattan,246,BRADHURST AVENUE
Bronx,3437,MC OWEN AVENUE
Brooklyn,,
Queens,105-52,62 DRIVE
Queens,241-004,148 ROAD
Brooklyn,397,SARATOGA AVENUE
Brooklyn,1302,AVENUE O
Brooklyn,505,BLAKE AVENUE
Brooklyn,863,EAST 37 STREET
Queens,108-49,66 AVENUE
Queens,31-018,NEWTOWN AVENUE
Queens,241-060,148 ROAD
Manhattan,234,BRADHURST AVENUE
Brooklyn,602,AVENUE K
Brooklyn,1833,71 STREET
Brooklyn,1236,PUTNAM AVENUE
Queens,239-014,147 DRIVE
Queens,28-039,31 STREET
Brooklyn,1819,BERGEN STREET
Brooklyn,571,RALPH AVENUE
Manhattan,140,BRADHURST AVENUE
Brooklyn,395,SARATOGA AVENUE
Brooklyn,3005,BEDFORD AVENUE
Staten Island,48,CHESEBROUGH STREET
Staten Island,318,ARMSTRONG AVENUE
Staten Island,27,OVIS PLACE
Queens,73-043,190 STREET
Bronx,609,EAST 156 STREET
Brooklyn,497,RALPH AVENUE
Brooklyn,1628,LINCOLN PLACE
Bronx,165,WEST 197 STREET
Brooklyn,221,71 STREET
Bronx,2514,WEBB AVENUE
Manhattan,67,3 AVENUE
Queens,239-066,148 ROAD
Bronx,640,WALES AVENUE
Brooklyn,447,CENTRAL AVENUE
Brooklyn,2419,BENSON AVENUE
Manhattan,132,DIVISION STREET
Brooklyn,1527,EAST 17 STREET
Brooklyn,95,GROVE STREET
Brooklyn,1505,EAST 17 STREET
Queens,88-066,161 STREET
Queens,71-011,170 STREET
Manhattan,246,BRADHURST AVENUE
Brooklyn,4224,12 AVENUE
Bronx,101,WEST KINGSBRIDGE ROAD
Manhattan,157,HUDSON STREET
Brooklyn,2571,BENSON AVENUE
